aX,aY,aZ,gX,gY,gZ

0.192,1.376,-1.171,125.549,-19.348,23.987

0.224,1.329,-1.217,100.098,-22.949,13.062

0.249,1.219,-1.246,70.618,-21.179,5.615

0.264,1.082,-1.214,36.377,-14.648,1.770

0.277,0.948,-1.120,0.793,-7.080,-0.305

0.309,0.813,-1.000,-27.405,-2.991,0.427

0.349,0.652,-0.955,-47.607,-3.296,2.808

0.392,0.517,-0.921,-63.171,-7.141,2.075

0.422,0.405,-0.886,-77.332,-9.155,-2.502

0.461,0.303,-0.835,-87.646,-8.606,-9.705

0.479,0.237,-0.793,-93.994,-7.507,-17.883

0.490,0.190,-0.775,-96.130,-7.263,-27.039

0.489,0.168,-0.774,-95.886,-7.324,-36.377

0.476,0.156,-0.784,-94.849,-6.897,-45.227

0.468,0.171,-0.807,-94.727,-5.432,-53.589

0.449,0.193,-0.835,-96.191,-3.540,-59.692

0.422,0.219,-0.854,-99.121,-0.427,-63.538

0.415,0.244,-0.869,-103.210,1.953,-66.162

0.397,0.250,-0.880,-107.971,2.625,-67.932

0.383,0.235,-0.887,-112.732,3.296,-70.007

0.369,0.216,-0.891,-118.408,3.784,-71.350

0.355,0.193,-0.887,-124.329,3.479,-71.594

0.348,0.167,-0.873,-130.249,2.686,-71.289

0.333,0.139,-0.848,-135.620,2.136,-71.228

0.317,0.109,-0.816,-139.404,1.587,-71.655

0.305,0.065,-0.808,-140.625,0.366,-71.655

0.300,0.024,-0.805,-141.418,-2.380,-70.984

0.295,-0.001,-0.797,-143.494,-5.859,-70.190

0.300,-0.023,-0.791,-146.240,-9.277,-69.031

0.309,-0.047,-0.787,-149.536,-12.207,-67.871

0.320,-0.074,-0.781,-154.663,-14.709,-67.688

0.318,-0.099,-0.761,-162.048,-17.212,-68.542

0.313,-0.126,-0.729,-170.410,-19.592,-69.824

0.302,-0.169,-0.687,-177.856,-21.423,-70.068

0.302,-0.221,-0.648,-183.655,-22.766,-68.970

0.301,-0.266,-0.601,-189.148,-24.902,-67.383

0.296,-0.303,-0.551,-193.115,-27.344,-65.979

0.289,-0.355,-0.501,-195.251,-29.175,-64.453

0.301,-0.405,-0.464,-194.458,-30.090,-61.157

0.321,-0.458,-0.429,-192.139,-30.151,-58.228

0.328,-0.500,-0.395,-191.284,-32.776,-57.922

0.326,-0.529,-0.358,-190.063,-36.011,-58.777

0.324,-0.546,-0.332,-186.523,-38.208,-59.753

0.322,-0.572,-0.313,-181.702,-39.551,-59.875

0.329,-0.585,-0.306,-177.612,-39.490,-58.777

0.331,-0.600,-0.292,-176.514,-39.734,-58.167

0.343,-0.611,-0.269,-178.406,-40.344,-57.678

0.350,-0.616,-0.241,-182.861,-41.077,-58.289

0.356,-0.617,-0.202,-189.270,-42.114,-60.425

0.345,-0.631,-0.166,-195.251,-42.664,-63.538

0.321,-0.660,-0.120,-200.195,-42.053,-66.772

0.301,-0.701,-0.074,-203.247,-40.833,-68.665

0.282,-0.730,-0.035,-204.041,-39.795,-67.383

0.275,-0.782,0.027,-202.332,-37.109,-62.866

0.266,-0.811,0.071,-198.730,-34.119,-56.396

0.265,-0.832,0.099,-192.322,-31.982,-47.974

0.260,-0.836,0.110,-183.289,-29.419,-38.757

0.263,-0.829,0.112,-172.913,-27.100,-30.212

0.288,-0.805,0.118,-162.720,-25.879,-23.865

0.308,-0.777,0.137,-156.250,-26.917,-22.949

0.311,-0.751,0.164,-156.067,-32.043,-29.724

0.312,-0.731,0.195,-157.227,-39.001,-39.795

0.297,-0.734,0.214,-157.837,-44.434,-49.500

0.274,-0.767,0.242,-159.790,-47.607,-57.312

0.248,-0.786,0.280,-162.170,-47.607,-60.486

0.232,-0.786,0.324,-163.330,-44.495,-58.838

0.245,-0.831,0.375,-162.659,-39.978,-52.490

0.253,-0.864,0.423,-167.236,-35.400,-45.227

0.251,-0.876,0.486,-168.335,-30.090,-37.231

0.248,-0.886,0.537,-168.823,-24.353,-32.654

0.239,-0.886,0.581,-167.419,-22.156,-28.503

0.239,-0.890,0.608,-162.537,-23.010,-25.513

0.248,-0.889,0.630,-156.616,-24.597,-23.987

0.245,-0.903,0.668,-154.236,-25.513,-25.146

0.239,-0.922,0.730,-157.471,-27.161,-29.541

0.232,-0.980,0.818,-160.400,-30.212,-34.973

0.220,-1.019,0.883,-159.607,-33.813,-39.001

0.211,-1.054,0.926,-153.320,-35.278,-39.429

0.202,-1.082,0.948,-142.456,-33.203,-35.522

0.200,-1.102,0.934,-128.479,-27.954,-26.611

0.208,-1.099,0.918,-115.540,-20.325,-15.259

0.220,-1.083,0.917,-104.065,-10.559,-4.639

0.227,-1.057,0.906,-94.360,-3.723,2.319

0.228,-1.029,0.884,-84.839,-1.465,5.188

0.230,-0.998,0.864,-76.233,-1.892,4.211

0.227,-0.978,0.847,-70.313,-3.784,0.610

0.220,-0.972,0.831,-66.406,-6.287,-3.967

0.214,-0.976,0.820,-63.660,-8.911,-7.202

0.214,-0.979,0.823,-62.073,-10.315,-8.667

0.224,-0.985,0.833,-60.364,-10.559,-8.667

0.237,-0.989,0.830,-56.824,-10.071,-6.836

0.247,-0.984,0.833,-51.880,-8.850,-5.127

0.252,-0.971,0.842,-46.692,-7.690,-4.456

0.250,-0.961,0.851,-41.016,-7.874,-5.188

0.253,-0.954,0.873,-36.926,-8.789,-6.958

0.255,-0.966,0.892,-34.363,-9.705,-9.277

0.251,-0.989,0.901,-30.640,-9.949,-11.169

0.248,-1.004,0.913,-26.550,-9.216,-12.024

0.242,-1.018,0.927,-22.827,-7.751,-12.024

0.238,-1.033,0.931,-18.494,-5.981,-10.864

0.232,-1.043,0.926,-13.550,-4.028,-9.521

0.225,-1.048,0.918,-8.118,-2.441,-7.812

0.218,-1.042,0.908,-2.808,-0.977,-5.920

0.219,-1.029,0.897,2.197,0.122,-3.906

0.225,-1.017,0.876,7.385,0.671,-1.831

0.231,-1.001,0.854,12.268,1.160,-0.244

0.236,-0.984,0.839,15.991,2.197,0.671

0.235,-0.976,0.821,19.348,3.113,0.854
