aX,aY,aZ,gX,gY,gZ

0.364,0.241,1.091,-53.284,-70.129,48.645

0.064,0.182,1.029,4.578,3.357,36.194

0.137,0.178,0.931,32.837,31.494,-4.517

0.152,0.244,0.948,30.884,29.541,-6.836

0.121,0.355,0.973,27.222,33.630,-5.920

-0.114,0.513,1.040,33.203,50.903,7.568

-0.139,0.463,1.064,71.228,81.970,73.364

-0.034,0.092,1.028,111.206,104.797,160.034

0.427,-0.191,1.034,93.994,99.731,178.528

0.243,0.059,1.021,77.271,44.556,86.853

0.143,0.160,1.056,127.441,25.269,10.986

0.244,0.170,1.026,144.226,26.489,-3.296

0.314,0.215,1.045,150.696,24.292,-12.817

0.319,0.141,1.053,167.053,32.104,-25.879

0.276,0.020,1.023,200.012,45.044,-34.546

0.161,-0.091,1.003,235.229,65.002,-35.095

0.100,-0.162,0.958,255.920,83.740,-20.203

0.105,-0.159,0.853,257.996,90.454,-1.770

0.110,-0.068,0.993,242.554,79.895,6.409

0.234,-0.150,0.844,232.056,71.838,-0.244

0.250,-0.249,0.858,231.201,67.688,-23.804

0.249,-0.349,0.825,223.755,65.186,-40.466

0.291,-0.386,0.833,213.196,66.528,-45.227

0.364,-0.454,0.701,199.707,62.195,-43.823

0.377,-0.518,0.628,131.897,39.185,-37.231

0.371,-0.452,0.625,75.867,6.836,-0.122

0.426,-0.462,0.578,42.175,-3.296,38.940

0.473,-0.543,0.599,32.959,17.883,46.265

0.480,-0.559,0.663,15.869,40.222,49.194

0.412,-0.466,0.761,-11.353,49.866,64.697

0.363,-0.363,0.797,-22.644,57.190,82.886

0.339,-0.257,0.831,-20.203,62.866,90.210

0.393,-0.170,0.857,-21.362,63.538,78.552

0.461,-0.179,0.830,-23.560,64.331,57.007

0.480,-0.249,0.821,-10.986,65.186,25.757

0.437,-0.325,0.830,5.981,61.035,-3.296

0.408,-0.385,0.833,16.174,54.810,-14.771

0.374,-0.449,0.818,16.907,50.049,-12.512

0.361,-0.503,0.807,10.742,47.729,-11.047

0.397,-0.516,0.805,2.502,47.302,-13.367

0.461,-0.495,0.808,-3.967,46.570,-15.686

0.541,-0.441,0.833,-11.841,45.410,-15.991

